Time [HH:MM:SS],X [m],Y [m],Z [m]
17:10:27.4824915,14.295821,14.088016,0.112893
17:10:27.4924915,14.298604,14.091479,0.112939
17:10:27.5024912,14.301337,14.094947,0.112956
17:10:27.5124910,14.303925,14.098496,0.112851
17:10:27.5224917,14.306525,14.102225,0.112857
17:10:27.5324915,14.309048,14.106108,0.112770
17:10:27.5424912,14.311577,14.110151,0.112774
17:10:27.5524917,14.314062,14.114281,0.112719
17:10:27.5624914,14.316427,14.118418,0.112697
17:10:27.5724914,14.318710,14.122488,0.112671
17:10:27.5824912,14.320886,14.126525,0.112653
17:10:27.5924916,14.323022,14.130552,0.112563
17:10:27.6024914,14.325114,14.134629,0.112522
17:10:27.6124911,14.327225,14.138763,0.112500
17:10:27.6224916,14.329367,14.142911,0.112412
17:10:27.6324916,14.331549,14.147022,0.112383
17:10:27.6424913,14.333774,14.151143,0.112331
17:10:27.6524911,14.336119,14.155325,0.112329
17:10:27.6624916,14.338277,14.159539,0.112302
17:10:27.6724913,14.340259,14.163767,0.112326
17:10:27.6824913,14.342184,14.167902,0.112324
17:10:27.6924915,14.343952,14.171930,0.112355
17:10:27.7024915,14.345542,14.175971,0.112345
17:10:27.7124913,14.346900,14.180112,0.112375
17:10:27.7224910,14.348170,14.184343,0.112396
17:10:27.7324915,14.349369,14.188673,0.112298
17:10:27.7424915,14.350484,14.193259,0.112327
17:10:27.7524912,14.351595,14.198080,0.112255
17:10:27.7624917,14.352630,14.203062,0.112298
17:10:27.7724915,14.353720,14.208060,0.112318
17:10:27.7824912,14.354764,14.213095,0.112371
17:10:27.7924912,14.355605,14.218197,0.112389
17:10:27.8024914,14.356415,14.223396,0.112437
17:10:27.8124914,14.357202,14.228622,0.112508
17:10:27.8224912,14.357967,14.233833,0.112492
17:10:27.8324916,14.358795,14.239048,0.112562
17:10:27.8424914,14.359658,14.244347,0.112603
17:10:27.8524914,14.360494,14.249783,0.112707
17:10:27.8624911,14.361183,14.255310,0.112794
17:10:27.8724916,14.361743,14.260878,0.112921
17:10:27.8824914,14.362071,14.266454,0.113036
17:10:27.8924911,14.362312,14.271990,0.113152
17:10:27.9024916,14.362432,14.277512,0.113179
17:10:27.9124916,14.362292,14.283102,0.113067
17:10:27.9224913,14.361980,14.288931,0.113105
17:10:27.9324911,14.361604,14.295026,0.113077
17:10:27.9424915,14.361068,14.301287,0.113112
17:10:27.9524913,14.360357,14.307605,0.113108
17:10:27.9624913,14.359549,14.313876,0.113156
17:10:27.9724915,14.358728,14.320084,0.113192
17:10:27.9824915,14.357960,14.326296,0.113268
17:10:27.9924913,14.357344,14.332511,0.113188
17:10:28.0024910,14.356877,14.338696,0.113071
17:10:28.0124915,14.356515,14.344887,0.113083
17:10:28.0224915,14.356259,14.351148,0.112989
17:10:28.0324912,14.356199,14.357453,0.112955
17:10:28.0424917,14.356156,14.363795,0.112909
17:10:28.0524914,14.356050,14.370145,0.112904
17:10:28.0624914,14.355846,14.376534,0.112836
17:10:28.0724912,14.355525,14.383056,0.112784
17:10:28.0824914,14.355199,14.389685,0.112631
17:10:28.0924914,14.354793,14.396507,0.112609
17:10:28.1024911,14.354358,14.403420,0.112505
17:10:28.1124916,14.353876,14.410346,0.112381
17:10:28.1224914,14.353305,14.417227,0.112244
17:10:28.1324914,14.352585,14.424134,0.112101
17:10:28.1424916,14.351785,14.431130,0.111979
17:10:28.1524916,14.351021,14.438239,0.111892
17:10:28.1624913,14.350488,14.445452,0.111712
17:10:28.1724913,14.349984,14.452820,0.111678
17:10:28.1824915,14.349589,14.460343,0.111552
17:10:28.1924913,14.349463,14.467634,0.111417
17:10:28.2024913,14.349442,14.474519,0.111200
17:10:28.2124918,14.349405,14.481048,0.111036
17:10:28.2224915,14.349355,14.487557,0.110942
17:10:28.2324915,14.349413,14.494309,0.110744
17:10:28.2424913,14.349428,14.501564,0.110642
17:10:28.2524917,14.349379,14.509116,0.110446
17:10:28.2624915,14.349211,14.516790,0.110343
17:10:28.2724912,14.348920,14.524378,0.110207
17:10:28.2824917,14.348403,14.531763,0.109955
17:10:28.2924914,14.347799,14.538958,0.109706
17:10:28.3024912,14.347156,14.546163,0.109495
17:10:28.3124912,14.346524,14.553375,0.109266
17:10:28.3224917,14.345945,14.560666,0.109105
17:10:28.3324914,14.345461,14.567995,0.108958
17:10:28.3424914,14.344869,14.575409,0.108853
17:10:28.3524916,14.344165,14.582879,0.108675
17:10:28.3624916,14.343456,14.590242,0.108536
17:10:28.3724914,14.342656,14.597433,0.108312
17:10:28.3824911,14.341740,14.604473,0.108208
17:10:28.3924916,14.340659,14.611464,0.108101
17:10:28.4024913,14.339511,14.618411,0.108029
17:10:28.4124913,14.338111,14.625353,0.108009
17:10:28.4224918,14.336525,14.632202,0.107915
17:10:28.4324915,14.334738,14.638934,0.107886
17:10:28.4424913,14.332779,14.645549,0.107709
17:10:28.4524913,14.330630,14.652137,0.107655
17:10:28.4624915,14.328271,14.658688,0.107648
17:10:28.4724915,14.325807,14.665117,0.107449
17:10:28.4824913,14.322981,14.671530,0.107386
17:10:28.4924917,14.319971,14.677899,0.107305
17:10:28.5024915,14.316907,14.684170,0.107115
17:10:28.5124912,14.313555,14.690339,0.107023
17:10:28.5224912,14.310027,14.696415,0.106848
17:10:28.5324917,14.306342,14.702400,0.106698
17:10:28.5424914,14.302588,14.708184,0.106555
17:10:28.5524912,14.298696,14.713701,0.106453
17:10:28.5624917,14.294618,14.718931,0.106333
17:10:28.5724914,14.290462,14.723980,0.106156
17:10:28.5824914,14.286147,14.729017,0.105965
17:10:28.5924912,14.281596,14.734039,0.105711
17:10:28.6024916,14.276669,14.739066,0.105576
17:10:28.6124914,14.271618,14.744023,0.105363
17:10:28.6224911,14.266441,14.748869,0.105267
17:10:28.6324916,14.261336,14.753395,0.105077
17:10:28.6424916,14.256263,14.757633,0.104894
17:10:28.6524913,14.251246,14.761792,0.104762
17:10:28.6624911,14.246227,14.766037,0.104608
17:10:28.6724916,14.241192,14.770671,0.104545
17:10:28.6824913,14.236196,14.775683,0.104347
17:10:28.6924913,14.231197,14.780845,0.104312
17:10:28.7024918,14.226086,14.785970,0.104247
17:10:28.7124915,14.220887,14.790978,0.104204
17:10:28.7224913,14.215897,14.795610,0.104154
17:10:28.7324913,14.211000,14.799876,0.104040
17:10:28.7424915,14.206004,14.803953,0.104012
17:10:28.7524915,14.200766,14.807932,0.104050
17:10:28.7624912,14.195328,14.811839,0.104062
17:10:28.7724917,14.189593,14.815632,0.104074
17:10:28.7824915,14.183706,14.819232,0.104044
17:10:28.7924912,14.177657,14.822728,0.103956
17:10:28.8024912,14.171528,14.826093,0.103863
17:10:28.8124917,14.165387,14.829219,0.103710
17:10:28.8224914,14.159161,14.832055,0.103723
17:10:28.8324912,14.153108,14.834655,0.103620
17:10:28.8424916,14.147055,14.837098,0.103533
17:10:28.8524914,14.140836,14.839254,0.103536
17:10:28.8624914,14.134573,14.841178,0.103425
17:10:28.8724911,14.128285,14.842984,0.103369
17:10:28.8824916,14.121898,14.844674,0.103221
17:10:28.8924913,14.115225,14.846157,0.103211
17:10:28.9024911,14.108479,14.847443,0.103053
17:10:28.9124918,14.101908,14.848462,0.103032
17:10:28.9224916,14.095380,14.849220,0.102960
17:10:28.9324913,14.088940,14.849666,0.102870
17:10:28.9424911,14.082543,14.849931,0.102860
17:10:28.9524915,14.076127,14.850088,0.102698
17:10:28.9624915,14.069570,14.850190,0.102765
17:10:28.9724913,14.062876,14.850431,0.102715
17:10:28.9824917,14.056101,14.850936,0.102787
17:10:28.9924915,14.049440,14.851636,0.102781
17:10:29.0024912,14.042792,14.852406,0.102822
17:10:29.0124910,14.036172,14.853120,0.102906
17:10:29.0224917,14.029564,14.853843,0.102885
17:10:29.0324915,14.023002,14.854399,0.102856
17:10:29.0424912,14.016286,14.854771,0.102880
17:10:29.0524917,14.009505,14.854980,0.102944
17:10:29.0624914,14.002700,14.855052,0.103021
17:10:29.0724914,13.995956,14.854917,0.103118
17:10:29.0824912,13.989183,14.854581,0.103146
17:10:29.0924916,13.982495,14.854075,0.103133
17:10:29.1024914,13.975945,14.853397,0.103135
17:10:29.1124911,13.969418,14.852567,0.103054
17:10:29.1224916,13.962729,14.851622,0.103131
17:10:29.1324916,13.956019,14.850619,0.103143
17:10:29.1424913,13.949277,14.849629,0.103261
17:10:29.1524911,13.942539,14.848666,0.103325
17:10:29.1624916,13.935784,14.847743,0.103425
17:10:29.1724913,13.928958,14.846937,0.103543
17:10:29.1824913,13.922083,14.846268,0.103549
17:10:29.1924918,13.914988,14.845720,0.103685
17:10:29.2024915,13.907813,14.845271,0.103709
17:10:29.2124913,13.900776,14.844966,0.103763
17:10:29.2224910,13.893826,14.844805,0.103754
17:10:29.2324915,13.886868,14.844680,0.103877
17:10:29.2424915,13.879831,14.844481,0.103941
17:10:29.2524912,13.872632,14.844235,0.103981
